Title,Requirements,Location,Mode
Event Hosting & Facilitator - Internship,"Active Learning, Anchoring, Collaboration, Conflict Management, English Proficiency (Spoken), Event Management, Leadership, Problem Solving, Public Relations, Public Speaking, Team Management, Teamwork, Certificate, Letter of recommendation, Flexible work hours",Work from home,In-office
Public Speaking - Internship,"Anchoring, Conflict Management, Effective Communication, English Proficiency (Spoken), Event Management, Leadership, Management, Public Relations, Public Speaking, Certificate, Letter of recommendation, Flexible work hours",Work from home,In-office
Human Resources (HR) - Internship,"MIS, MS-Excel, MS-Office, Recruitment, Certificate, Letter of recommendation, Free snacks & beverages",Mumbai,In-office
Social Media Marketing - Internship,"Digital Marketing, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Social Media Marketing, Certificate",Work from home,In-office
Content Writing - Internship,"Content Writing, Creative Writing, English Proficiency (Written), Certificate",Work from home,In-office
Video Editing/Making - Internship,"Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Job offer",Delhi,In-office
Web Services - Internship,"MS-Excel, Web Design, Web Services, Letter of recommendation",Navi Mumbai,In-office
Business Development (Sales) - Internship,"MS-Excel, Certificate, Informal dress code",Mumbai,In-office
Search Engine Optimization (SEO) - Internship,"Digital Marketing, Google AdWords, Search Engine Optimization (SEO), Social Media Marketing, Certificate",Gurgaon,In-office
Community Management - Internship,"Collaboration, Coordination, Social Media Marketing, Team Management, Certificate, Letter of recommendation, Flexible work hours",Work from home,In-office
Business Research - Internship,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, Research and Analytics, Certificate, Letter of recommendation, Informal dress code",Noida,In-office
Sales and Marketing - Internship,"Sales Strategy, Certificate","Surat, Vadodara",In-office
Campus Ambassador - Internship,"Branding, Content Writing, Networking, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",Work from home,In-office
Marketing - Internship,"Client Relationship Management (CRM), Effective Communication, MS-Excel, Certificate, Free snacks & beverages",Bangalore,In-office
UI/UX Designer - Internship,"Adobe Illustrator, Adobe Photoshop, Canva, Figma, Job offer",Mumbai,In-office
Human Resources (HR) - Internship,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",Mumbai,In-office
Sales Consultant - Internship,"Effective Communication, Sales, Sales Management, Certificate",Hyderabad,In-office
Digital Marketing - Internship,"Digital Marketing, Google Analytics, Marketing Campaigns, Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, 5 days a week",Manesar,In-office
Campaign Lead (Special Project By The Times Of India) - Internship,"Community Management, Coordination, Interpersonal skills, Video Making, Certificate, Letter of recommendation, 5 days a week",Bangalore,In-office
Content Writing - Internship,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing, Certificate, 5 days a week",Kolkata,In-office
Business Development (Sales) - Internship,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Letter of recommendation, Informal dress code",Noida,In-office
Graphic Design - Internship,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, UI & UX Design, Certificate, Letter of recommendation, Flexible work hours, 5 days a week","Gurgaon, Manesar",In-office
Front-Desk - Internship,"Administrative Support, Effective Communication, Interpersonal skills, MS-Office, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",Delhi,In-office
Product Analytics - Internship,"Power BI, Python, SQL, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",Bangalore,In-office
Field Sales - Internship,"Business Development, Field Sales, Lead Generation, Certificate, Job offer","Ahmedabad, Pune, Hyderabad, Mumbai, Bangalore",In-office
